title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Volkswagen Crafter Pro Furgón Bmt 35 Bm Tn 136,12.990€,2016,189.000 km,136 cv en Barcelona,Manual,4 puertas,3,136 cv,Blanco,226 gr/m,Diesel,SÍ,Profesional,Furgon,242 cm,591 cm,199 cm,0 l,156 km/h,"10,1 l","7,8 l","8,6 l",1.985 kg,75 l,"0,0 s"
Nissan Primastar Pr. Fg. L1h2 2.0dci 115 Pro,4.900€,01/2008,141.586 km,115 cv,Manual,4 puertas,3,115 cv,Blanco,214 gr/m,Diesel,SÍ,Profesional,Furgon,247 cm,478 cm,190 cm,0 l,150 km/h,"9,8 l","7,0 l","7,9 l",1.760 kg,90 l,"0,0 s"
Renault Trafic Furgón 27 L1h1 Dci 84kw,9.000€,2015,193.000 km,115 cv en Madrid,Manual,4 puertas,3,115 cv,Blanco,170 gr/m,Diesel,SÍ,Profesional,Furgon,197 cm,500 cm,196 cm,0 l,168 km/h,"7,8 l","5,7 l","6,5 l",1.661 kg,80 l,"12,4 s"
Ford Transit Courier Kombi 1.5tdci Trend 100,9.300€,2018,110.000 km,100 cv en Toledo,Manual,4 puertas,5,100 cv,Blanco,111 gr/m,Diesel,SÍ,Profesional,Combi,173 cm,416 cm,198 cm,0 l,0 km/h,"4,6 l","3,6 l","4,0 l",1.230 kg,47 l,"0,0 s"
Peugeot Partner Tepee 1.6hdi Outdoor 115,9.500€,2013,115.000 km,115 cv en Pontevedra,Manual,5 puertas,5,115 cv,Marrón,134 gr/m,Diesel,SÍ,Profesional,Combi,180 cm,438 cm,181 cm,675 l,176 km/h,"5,8 l","4,7 l","5,1 l",1.401 kg,60 l,"12,1 s"
Renault Kangoo Combi 1.5dci Dynamique All Road 85,6.500€,2009,174.000 km,85 cv en Girona,Manual,5 puertas,5,85 cv,Verde,140 gr/m,Diesel,SÍ,Profesional,Combi,180 cm,421 cm,183 cm,0 l,158 km/h,"5,9 l","5,0 l","5,3 l",1.411 kg,60 l,"16,0 s"
Peugeot Expert Combi Standard 1.5bluehdi S&s 120,22.420€,2021,NUEVO,120 cv en Barcelona,Manual,4 puertas,6,120 cv,Blanco,136 gr/m,Diesel,SÍ,Profesional,Combi,190 cm,496 cm,192 cm,0 l,160 km/h,"5,3 l","4,7 l","4,9 l",1.571 kg,70 l,"14,3 s"
Peugeot Expert Fg. Compact 1.6bluehdi S&s Premium 115,12.300€,2018,117.000 km,115 cv en Valencia,Manual,4 puertas,3,115 cv,Blanco,133 gr/m,Diesel,SÍ,Profesional,Furgon,191 cm,461 cm,192 cm,0 l,160 km/h,"5,5 l","4,9 l","5,1 l",1.598 kg,70 l,"12,9 s"
Ford Transit Custom Ft 300 L1 Kombi Ambiente 100,11.990€,2015,145.000 km,100 cv en Barcelona,Manual,4 puertas,9,100 cv,Blanco,168 gr/m,Diesel,SÍ,Profesional,Combi,197 cm,497 cm,208 cm,0 l,0 km/h,"7,3 l","6,1 l","6,5 l",2.107 kg,80 l,"0,0 s"
Renault Trafic Passenger 1.6dci Tt Energy L 92kw,16.500€,2019,66.016 km,"125 cv en Rioja, La",Manual,4 puertas,9,125 cv,Gris,145 gr/m,Diesel,SÍ,Profesional,Combi,197 cm,540 cm,196 cm,0 l,181 km/h,"6,4 l","5,3 l","5,7 l",1.901 kg,80 l,"10,8 s"
