title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Ford C-max C-max 1.6tdci Trend,2.500€,2007,240.000 km,90 cv en Valencia,Manual,5 puertas,5,90 cv,Gris,124 gr/m,Diesel,SÍ,Profesional,Monovolumen,160 cm,437 cm,183 cm,473 l,174 km/h,"6,0 l","4,1 l","4,8 l",1.391 kg,53 l,"13,1 s"
Renault Espace 1.6dci Tt En. Initiale Paris Edc 118kw,16.999€,11/2015,125.000 km,160 cv en Burgos,Automática secuencial,5 puertas,5,160 cv,Gris,120 gr/m,Diesel,SÍ,Profesional,Monovolumen,168 cm,486 cm,189 cm,240 l,200 km/h,"5,1 l","4,4 l","4,7 l",1.659 kg,58 l,"9,7 s"
Chevrolet Spark 1.0 16v Ls,4.000€,2012,40.280 km,68 cv en Barcelona,Manual,5 puertas,5,68 cv,Blanco,119 gr/m,Gasolina,No,Particular,Monovolumen,152 cm,364 cm,160 cm,170 l,154 km/h,"6,6 l","4,2 l","5,1 l",1.053 kg,35 l,"15,5 s"
Dacia Dokker 1.5dci Ambiance Ss 55kw,8.000€,2018,76.000 km,75 cv en Lleida,Manual,4 puertas,5,75 cv,,108 gr/m,Diesel,SÍ,Profesional,Monovolumen,181 cm,436 cm,175 cm,800 l,150 km/h,"5,2 l","4,1 l","4,5 l",1.205 kg,50 l,"15,9 s"
Renault Scénic 1.3 Tce Gpf Zen Edc 103kw,20.690€,12/2019,16.109 km,140 cv en Madrid,Automática secuencial,5 puertas,5,140 cv,,131 gr/m,Gasolina,SÍ,Profesional,Monovolumen,165 cm,441 cm,187 cm,496 l,193 km/h,"6,8 l","5,0 l","5,7 l",1.529 kg,52 l,"11,0 s"
Renault Scénic Ii 1.6 Confort Expression,4.550€,03/2004,50.990 km,115 cv en Madrid,Manual,5 puertas,5,115 cv,Azul,0 gr/m,Gasolina,SÍ,Profesional,Monovolumen,162 cm,426 cm,181 cm,0 l,185 km/h,"9,3 l","6,0 l","7,2 l",1.320 kg,60 l,"12,5 s"
Seat Altea 1.9tdi Green,2.999€,03/2007,290.000 km,105 cv en Malaga,Manual,5 puertas,5,105 cv,Negro,146 gr/m,Diesel,SÍ,Profesional,Monovolumen,157 cm,428 cm,177 cm,409 l,183 km/h,"6,9 l","4,5 l","5,4 l",1.405 kg,55 l,"12,3 s"
Lancia Voyager 2.8crd Silver 177 Aut.,19.500€,03/2014,159.789 km,177 cv en Navarra,Automática secuencial,5 puertas,7,177 cv,Azul,207 gr/m,Diesel,SÍ,Profesional,Monovolumen,175 cm,522 cm,200 cm,934 l,193 km/h,"10,5 l","6,3 l","7,9 l",2.242 kg,76 l,"11,5 s"
Nissan Note 1.5dci N-tec,6.500€,2016,170.000 km,90 cv en Girona,Manual,5 puertas,5,90 cv,Negro,93 gr/m,Diesel,SÍ,Profesional,Monovolumen,153 cm,410 cm,170 cm,325 l,179 km/h,"4,1 l","3,2 l","3,5 l",1.132 kg,41 l,"11,9 s"
Citroen C4 Picasso 1.6e-hdi Seduction 115,13.900€,01/2015,106.411 km,115 cv en Navarra,Automática secuencial,5 puertas,5,115 cv,Gris,105 gr/m,Diesel,SÍ,Profesional,Monovolumen,161 cm,443 cm,183 cm,537 l,189 km/h,"4,5 l","3,8 l","4,0 l",1.373 kg,55 l,"11,8 s"
Seat Alhambra 2.0tdi Cr Eco. S&s Style 150,24.900€,04/2019,25.052 km,150 cv en Barcelona,Manual,5 puertas,5,150 cv,Rojo,134 gr/m,Diesel,SÍ,Profesional,Monovolumen,172 cm,485 cm,190 cm,885 l,198 km/h,"6,1 l","4,5 l","5,1 l",1.824 kg,73 l,"10,6 s"
