title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Mercedes Clase Cl Cl 500 Aut.,25.000€,2007,65.000 km,388 cv en Murcia,Automática secuencial,2 puertas,4,388 cv,Marron,288 gr/m,Gasolina,No,Particular,Coupe,142 cm,507 cm,187 cm,490 l,250 km/h,"18,1 l","8,5 l","12,1 l",1.995 kg,90 l,"5,4 s"
Hyundai Veloster 1.6 Gdi,9.000€,2013,65.000 km,140 cv en Madrid,Manual,4 puertas,4,140 cv,Negro,148 gr/m,Gasolina,No,Particular,Coupe,140 cm,422 cm,179 cm,320 l,201 km/h,"8,1 l","5,3 l","6,5 l",1.185 kg,50 l,"9,7 s"
Mercedes Clase C C Sportcoupé 180 K Sport Edition,6.500€,2006,203.000 km,143 cv en Asturias,Manual,3 puertas,4,143 cv,Negro,191 gr/m,Gasolina,No,Particular,Coupe,141 cm,434 cm,173 cm,310 l,223 km/h,"11,7 l","6,1 l","8,2 l",1.465 kg,62 l,"9,7 s"
Mercedes Clase Slk Slk 350,12.500€,2006,200.000 km,272 cv en Caceres,Automática,2 puertas,2,272 cv,Negro,255 gr/m,Gasolina,No,Particular,Roadster,130 cm,409 cm,178 cm,208 l,250 km/h,"15,5 l","7,8 l","10,6 l",1.465 kg,70 l,"5,6 s"
Mercedes Clase Slk Slk 200 Be Edition 1,20.950€,2012,90.000 km,184 cv en Valencia,Manual,2 puertas,2,184 cv,Gris,149 gr/m,Gasolina,No,Particular,Roadster,130 cm,413 cm,181 cm,225 l,240 km/h,"8,9 l","5,0 l","6,4 l",1.435 kg,60 l,"7,3 s"
Audi A5 Cabrio 2.0tdi 150,21.000€,2013,145.000 km,150 cv en Cadiz,Manual,2 puertas,4,150 cv,Blanco,124 gr/m,Diesel,No,Particular,Convertible,138 cm,463 cm,185 cm,320 l,210 km/h,"5,6 l","4,2 l","4,7 l",1.730 kg,63 l,"10,2 s"
Mercedes Clase Clk Clk 270 Cdi,5.600€,2003,193.000 km,170 cv en Albacete,Manual,2 puertas,4,170 cv,Blanco,0 gr/m,Diesel,No,Particular,Coupe,141 cm,464 cm,174 cm,0 l,0 km/h,"9,6 l","5,0 l","6,7 l",1.645 kg,62 l,"0,0 s"
Audi A5 Coupé 1.8 Tfsi,8.900€,2008,231.000 km,170 cv en Valencia,Manual,2 puertas,4,170 cv,Azul,169 gr/m,Gasolina,No,Particular,Coupe,137 cm,463 cm,185 cm,455 l,228 km/h,"9,9 l","5,5 l","7,1 l",1.470 kg,65 l,"8,4 s"
Mercedes Clase Clc Clc 180 K,12.500€,2011,91.020 km,143 cv en Barcelona,Manual,3 puertas,4,143 cv,Plateado,182 gr/m,Gasolina,No,Particular,Coupe,141 cm,445 cm,173 cm,310 l,220 km/h,"11,0 l","5,7 l","7,7 l",1.475 kg,62 l,"11,4 s"
Mercedes Clase Cls Cls 350d 4matic Aut.,64.500€,2019,38.200 km,286 cv en Madrid,Automática secuencial,4 puertas,5,286 cv,Negro,152 gr/m,Diesel,No,Particular,Coupe,144 cm,499 cm,189 cm,520 l,250 km/h,"7,4 l","3,9 l","5,7 l",1.935 kg,66 l,"5,7 s"
Bmw Serie 4 420d Coupé,21.000€,2014,65.000 km,184 cv en Pontevedra,Automática,2 puertas,4,184 cv,Rojo,124 gr/m,Diesel,No,Particular,Coupe,138 cm,464 cm,183 cm,445 l,240 km/h,"5,8 l","4,1 l","4,7 l",1.450 kg,57 l,"7,5 s"
Mercedes Clase Glc Glc Coupé 43 Amg 4matic Aut.,62.900€,07/2018,83.000 km,367 cv en Lugo,Automática secuencial,5 puertas,5,367 cv,Blanco,220 gr/m,Gasolina,SÍ,Profesional,Coupe,159 cm,473 cm,193 cm,500 l,250 km/h,"12,3 l","7,9 l","9,6 l",1.855 kg,66 l,"4,9 s"
Bmw Serie 2 220ia Coupé,11.700€,2013,89.500 km,184 cv en Madrid,Automática secuencial,2 puertas,4,184 cv,Blanco,134 gr/m,Gasolina,No,Particular,Coupe,142 cm,443 cm,177 cm,390 l,230 km/h,"7,7 l","4,6 l","5,7 l",1.365 kg,52 l,"7,0 s"
Toyota Celica 1.8 Vvt-1,4.800€,2000,245.000 km,143 cv en Lleida,Manual,3 puertas,4,143 cv,Rojo,0 gr/m,Gasolina,No,Particular,Coupe,132 cm,433 cm,174 cm,0 l,0 km/h,"10,3 l","6,2 l","7,7 l",1.100 kg,0 l,"8,7 s"
Bmw Serie 6 640da Coupé,33.700€,2013,85.000 km,313 cv en Madrid,Automática secuencial,2 puertas,4,313 cv,Blanco,145 gr/m,Diesel,No,Particular,Coupe,137 cm,489 cm,189 cm,460 l,250 km/h,"6,6 l","4,8 l","5,4 l",1.715 kg,70 l,"5,5 s"
Audi Tt Tt Coupé 3.2 Quattro,12.500€,2007,230.000 km,250 cv en Madrid,Manual,2 puertas,4,250 cv,Blanco,247 gr/m,Gasolina,No,Particular,Coupe,135 cm,418 cm,184 cm,290 l,250 km/h,"14,7 l","7,8 l","10,3 l",1.410 kg,55 l,"5,9 s"
