title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Fiat 500 1.2 Sport Mta,11.500€,01/2020,9.739 km,69 cv en Malaga,Automática secuencial,3 puertas,4,69 cv,Rojo,108 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"5,9 l","4,4 l","4,9 l",865 kg,35 l,"12,9 s"
Toyota Aygo 1.0 Vvt-i X-play,8.500€,07/2017,57.940 km,69 cv en Badajoz,Manual,5 puertas,4,69 cv,Negro,95 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,346 cm,162 cm,168 l,160 km/h,"5,0 l","3,6 l","4,1 l",855 kg,35 l,"14,2 s"
Renault Twingo Electric Serie Limitada Vibes R80 60kw Batería 20kw-h,20.600€,12/2020,300 km,81 cv en Pontevedra,"Directo, sin caja de cambios",5 puertas,4,81 cv,Naranja valencia,0 gr/m,Eléctrico,SÍ,Profesional,Berlina,154 cm,361 cm,165 cm,188 l,135 km/h,"0,0 l","0,0 l","0,0 l",1.168 kg,0 l,"12,9 s"
Smart Fortwo Coupé Electric Drive,15.490€,02/2019,5.000 km,82 cv en Madrid,"Directo, sin caja de cambios",3 puertas,2,82 cv,Negro (solid),0 gr/m,Eléctrico,SÍ,Profesional,Berlina,156 cm,270 cm,166 cm,230 l,130 km/h,"0,0 l","0,0 l","0,0 l",1.085 kg,0 l,"11,5 s"
Citroen C1 1.0 Vti Feel 72,12.100€,10/2020,1.049 km,72 cv en Illes Balears,Manual,5 puertas,4,72 cv,Negro,85 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,347 cm,162 cm,196 l,160 km/h,"5,0 l","3,8 l","4,2 l",883 kg,35 l,"13,8 s"
Peugeot 108 1.0 Vti S&s Active 72,8.500€,2020,6.000 km,72 cv en Barcelona,Manual,5 puertas,4,72 cv,Blanco,85 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,348 cm,162 cm,180 l,160 km/h,"4,3 l","3,4 l","3,7 l",915 kg,35 l,"13,8 s"
Fiat 500 1.0 Gse Lounge,11.900€,01/2020,1 km,70 cv en Madrid,Manual,3 puertas,4,70 cv,Burdeos opera,88 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,167 km/h,"6,1 l","3,9 l","4,7 l",980 kg,35 l,"13,8 s"
Fiat 500 1.2 Star,12.500€,01/2020,1 km,69 cv en Madrid,Manual,3 puertas,4,69 cv,Negro vesubio,108 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"5,9 l","4,4 l","4,9 l",865 kg,35 l,"12,9 s"
Fiat 500 1.2 S,8.750€,2018,19.986 km,69 cv en Barcelona,Manual,3 puertas,4,69 cv,Blanco,122 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"6,4 l","4,6 l","5,2 l",865 kg,35 l,"12,9 s"
Fiat Panda 1.2 Lounge,8.700€,04/2019,9.000 km,69 cv en Madrid,Manual,5 puertas,4,69 cv,Blanco,118 gr/m,Gasolina,SÍ,Profesional,Berlina,155 cm,365 cm,164 cm,225 l,164 km/h,"6,6 l","4,7 l","5,4 l",1.055 kg,37 l,"14,8 s"
Fiat 500 1.0 Gse Lounge,11.900€,12/2020,1 km,70 cv en Madrid,Manual,3 puertas,4,70 cv,Rojo,88 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,167 km/h,"6,1 l","3,9 l","4,7 l",980 kg,35 l,"13,8 s"
Fiat Panda 1.2 Lounge,8.700€,11/2019,25.000 km,69 cv en Madrid,Manual,5 puertas,4,69 cv,Rojo,118 gr/m,Gasolina,SÍ,Profesional,Berlina,155 cm,365 cm,164 cm,225 l,164 km/h,"6,6 l","4,7 l","5,4 l",1.055 kg,37 l,"14,8 s"
