title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Bmw Serie 1 116i,8.900€,06/2009,125.000 km,122 cv en Castellon,Manual,3 puertas,4,122 cv,Blanco,143 gr/m,Gasolina,SÍ,Profesional,Berlina,142 cm,424 cm,175 cm,330 l,204 km/h,"7,5 l","4,8 l","5,8 l",1.340 kg,53 l,"9,8 s"
Citroen Ds4 Ds4 1.6e-hdi Stt Style 115,10.990€,2014,89.000 km,114 cv en Madrid,Manual,5 puertas,5,114 cv,Blanco,118 gr/m,Diesel,SÍ,Profesional,Berlina,153 cm,428 cm,181 cm,385 l,190 km/h,"5,4 l","4,0 l","4,5 l",1.295 kg,60 l,"11,3 s"
Peugeot 208 1.2 Puretech S&s Active 82,7.990€,08/2015,39.484 km,82 cv en Madrid,Manual,5 puertas,5,82 cv,Blanco,110 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,397 cm,174 cm,311 l,175 km/h,"5,8 l","4,2 l","4,8 l",1.050 kg,45 l,"12,2 s"
Bmw Serie 1 116d,12.000€,01/2012,114.982 km,116 cv en Madrid,Manual,3 puertas,5,116 cv,Bluewater (metalizado),109 gr/m,Diesel,SÍ,Profesional,Berlina,142 cm,432 cm,177 cm,360 l,200 km/h,"5,3 l","3,8 l","4,3 l",1.305 kg,52 l,"10,3 s"
Volkswagen Golf 1.4 Tsi Bmt Sport 150 Act T. Dsg,17.900€,08/2015,53.576 km,150 cv en Madrid,Automática secuencial,5 puertas,5,150 cv,Azul pacífico (metalizado),113 gr/m,Gasolina,SÍ,Profesional,Berlina,145 cm,426 cm,180 cm,380 l,216 km/h,"5,8 l","4,1 l","4,7 l",1.288 kg,50 l,"8,2 s"
Peugeot 208 1.2 Puretech S&s Allure 110,10.490€,05/2018,32.847 km,110 cv en Cordoba,Manual,5 puertas,5,110 cv,Gris,99 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,397 cm,174 cm,311 l,190 km/h,"5,2 l","3,7 l","4,3 l",1.145 kg,50 l,"9,6 s"
Audi A3 Sportback 2.0tdi Sport Edition 110kw,21.400€,06/2018,27.310 km,150 cv en Barcelona,Manual,5 puertas,5,150 cv,Blanco,111 gr/m,Diesel,SÍ,Profesional,Berlina,143 cm,431 cm,179 cm,380 l,218 km/h,"5,2 l","3,8 l","4,3 l",1.305 kg,50 l,"8,6 s"
Ford Fiesta 1.25 Trend 82,7.750€,12/2017,41.948 km,82 cv en Valencia,Manual,5 puertas,5,82 cv,Azul,120 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,397 cm,172 cm,276 l,168 km/h,"6,8 l","4,2 l","5,2 l",1.055 kg,42 l,"13,3 s"
Volkswagen Polo 1.0 Tsi Sport 70kw,13.100€,06/2018,18.615 km,95 cv en Zaragoza,Manual,5 puertas,5,95 cv,Naranja,106 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,405 cm,175 cm,355 l,187 km/h,"5,5 l","4,0 l","4,6 l",1.145 kg,40 l,"10,8 s"
Ford Focus 1.8 Tdci Trend 100,2.000€,2004,210.000 km,100 cv en Sevilla,Manual,5 puertas,5,100 cv,Azul,0 gr/m,Diesel,SÍ,Profesional,Berlina,148 cm,415 cm,170 cm,0 l,0 km/h,"7,2 l","4,5 l","5,5 l",1.280 kg,55 l,"11,6 s"
