title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Renault Laguna 1.6 16v Authentique,1.900€,2006,169.000 km,115 cv en Madrid,Manual,5 puertas,5,115 cv,Gris,175 gr/m,Gasolina,SÍ,Profesional,Berlina,143 cm,458 cm,177 cm,430 l,197 km/h,"10,0 l","5,9 l","7,4 l",1.270 kg,68 l,"11,5 s"
Fiat 500 C 0.9 T Twinair Lounge 85,5.990€,2013,113.000 km,85 cv en Zamora,Manual,2 puertas,4,85 cv,Azul,92 gr/m,Gasolina,SÍ,Profesional,Convertible,149 cm,355 cm,163 cm,182 l,173 km/h,"4,9 l","3,7 l","4,1 l",930 kg,35 l,"11,0 s"
Renault Laguna 1.5dci Emotion,8.300€,01/2013,67.873 km,110 cv,Manual,5 puertas,5,110 cv,Gris,109 gr/m,Diesel,SÍ,Profesional,Berlina,145 cm,470 cm,181 cm,450 l,193 km/h,"5,9 l","4,0 l","4,7 l",1.398 kg,66 l,"11,9 s"
Volkswagen Caravelle Comercial Caravelle 2.0tdi Trendline,25.895€,03/2019,23.325 km,102 cv en Valencia,Manual,4 puertas,7,102 cv,Negro,193 gr/m,Diesel,SÍ,Profesional,Combi,199 cm,489 cm,190 cm,0 l,157 km/h,"9,7 l","6,3 l","7,5 l",1.790 kg,80 l,"17,9 s"
Bmw X3 Xdrive 20d,19.900€,03/2015,95.350 km,"190 cv en Palmas, Las",Manual,5 puertas,5,190 cv,Blanco,142 gr/m,Diesel,SÍ,Profesional,Todo Terreno,166 cm,466 cm,188 cm,550 l,210 km/h,"6,1 l","5,0 l","5,4 l",1.730 kg,67 l,"8,1 s"
Opel Astra St 1.2t S-s Gs Line 110,15.990€,12/2019,5 km,110 cv en Alava,Manual,5 puertas,5,110 cv,Azul,102 gr/m,Gasolina,SÍ,Profesional,Stationwagon,150 cm,470 cm,181 cm,540 l,200 km/h,"5,5 l","3,9 l","4,5 l",1.280 kg,48 l,"10,6 s"
Audi A3 Sportback 35 Tfsi S Line,27.000€,06/2020,8.000 km,150 cv en Madrid,Manual,5 puertas,5,150 cv,Gris,115 gr/m,Gasolina,SÍ,Profesional,Berlina,145 cm,434 cm,182 cm,380 l,224 km/h,"6,3 l","4,1 l","4,9 l",1.355 kg,50 l,"8,4 s"
Hyundai Kona 1.0 Tgdi Essence 4x2,12.900€,08/2018,10.170 km,"120 cv en Coruña, A",Manual,5 puertas,5,120 cv,Azul,121 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,157 cm,417 cm,180 cm,361 l,181 km/h,"6,0 l","4,7 l","5,2 l",1.233 kg,50 l,"12,0 s"
Volkswagen Polo 1.0 Edition 59kw,11.900€,2020,28.356 km,80 cv en Madrid,Manual,5 puertas,5,80 cv,Gris,107 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,405 cm,175 cm,355 l,141 km/h,"5,9 l","4,2 l","4,7 l",1.105 kg,40 l,"15,4 s"
Peugeot 308 1.6 Gt,15.000€,05/2017,55.000 km,"205 cv en Coruña, A",Manual,5 puertas,5,205 cv,Rojo,130 gr/m,Gasolina,SÍ,Profesional,Berlina,145 cm,425 cm,180 cm,420 l,235 km/h,"7,4 l","4,6 l","5,6 l",1.200 kg,53 l,"7,5 s"
Infiniti Qx70 Qx70 5.0 S Premium Aut.,32.900€,03/2015,43.255 km,390 cv,Automática secuencial,5 puertas,5,390 cv,Blanco,307 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,168 cm,487 cm,193 cm,410 l,250 km/h,"18,9 l","9,8 l","13,1 l",2.120 kg,90 l,"5,8 s"
Infiniti Qx70 Qx70 5.0 S Premium Aut.,32.900€,03/2015,43.255 km,"390 cv en Palmas, Las",Automática secuencial,5 puertas,5,390 cv,Blanco,307 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,168 cm,487 cm,193 cm,410 l,250 km/h,"18,9 l","9,8 l","13,1 l",2.120 kg,90 l,"5,8 s"
Seat León 1.2 Tsi S&s Style 105,8.900€,2013,69.800 km,105 cv en Barcelona,Manual,5 puertas,5,105 cv,Rojo,114 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,426 cm,182 cm,380 l,191 km/h,"6,1 l","4,2 l","4,9 l",1.198 kg,50 l,"10,0 s"
Skoda Octavia 2.0tdi Cr Style,11.900€,2017,142.000 km,150 cv en Badajoz,Manual,5 puertas,5,150 cv,Gris,106 gr/m,Diesel,SÍ,Profesional,Berlina,146 cm,466 cm,181 cm,590 l,218 km/h,"5,0 l","3,6 l","4,1 l",1.330 kg,50 l,"8,5 s"
